time,value
2023-08-21T00:00:00,52.07797619047619
2023-08-21T01:00:00,64.3779761904762
2023-08-21T02:00:00,61.9779761904762
2023-08-21T03:00:00,48.377976190476204
2023-08-21T04:00:00,16.27797619047618
2023-08-21T05:00:00,-23.62202380952381
2023-08-21T06:00:00,-54.5220238095238
2023-08-21T07:00:00,-73.42202380952381
2023-08-21T08:00:00,-75.12202380952381
2023-08-21T09:00:00,-65.82202380952381
2023-08-21T10:00:00,-40.62202380952381
2023-08-21T11:00:00,-3.322023809523813
2023-08-21T12:00:00,27.577976190476193
2023-08-21T13:00:00,50.4779761904762
2023-08-21T14:00:00,54.67797619047619
2023-08-21T15:00:00,44.9779761904762
2023-08-21T16:00:00,23.877976190476204
2023-08-21T17:00:00,-8.822023809523813
2023-08-21T18:00:00,-38.92202380952381
2023-08-21T19:00:00,-59.92202380952381
2023-08-21T20:00:00,-61.722023809523805
2023-08-21T21:00:00,-53.42202380952381
2023-08-21T22:00:00,-32.12202380952381
2023-08-21T23:00:00,0.7779761904761813
2023-08-22T00:00:00,33.67797619047619
2023-08-22T01:00:00,57.07797619047619
2023-08-22T02:00:00,61.67797619047619
2023-08-22T03:00:00,54.77797619047618
2023-08-22T04:00:00,34.4779761904762
2023-08-22T05:00:00,-0.7220238095238045
2023-08-22T06:00:00,-34.722023809523805
2023-08-22T07:00:00,-59.722023809523805
2023-08-22T08:00:00,-72.12202380952381
2023-08-22T09:00:00,-69.5220238095238
2023-08-22T10:00:00,-54.42202380952381
2023-08-22T11:00:00,-23.62202380952381
2023-08-22T12:00:00,9.877976190476204
2023-08-22T13:00:00,36.377976190476204
2023-08-22T14:00:00,50.17797619047619
2023-08-22T15:00:00,48.4779761904762
2023-08-22T16:00:00,36.67797619047619
2023-08-22T17:00:00,11.477976190476198
2023-08-22T18:00:00,-19.0220238095238
2023-08-22T19:00:00,-43.32202380952381
2023-08-22T20:00:00,-54.32202380952381
2023-08-22T21:00:00,-53.722023809523805
2023-08-22T22:00:00,-40.5220238095238
2023-08-22T23:00:00,-16.62202380952381
2023-08-23T00:00:00,13.577976190476193
2023-08-23T01:00:00,41.27797619047618
2023-08-23T02:00:00,54.4779761904762
2023-08-23T03:00:00,55.4779761904762
2023-08-23T04:00:00,45.9779761904762
2023-08-23T05:00:00,21.677976190476187
2023-08-23T06:00:00,-10.62202380952381
2023-08-23T07:00:00,-37.82202380952381
2023-08-23T08:00:00,-56.0220238095238
2023-08-23T09:00:00,-60.92202380952381
2023-08-23T10:00:00,-55.0220238095238
2023-08-23T11:00:00,-37.12202380952381
2023-08-23T12:00:00,-8.922023809523807
2023-08-23T13:00:00,20.077976190476193
2023-08-23T14:00:00,39.27797619047618
2023-08-23T15:00:00,44.877976190476204
2023-08-23T16:00:00,41.07797619047619
